,"Effective federal funds rate (% p.a.), last business day of month",Wu-Xia shadow federal funds rate (last business day of month),,,,,,,,,,,,
Jan-60,4.00,,,,,,,,,,,,,
Feb-60,4.00,,,,,,,,,,,,,
Mar-60,4.00,,,,,,,,,,,,,
Apr-60,4.00,,,,,,,,,,,,,
May-60,3.50,,,,,,,,,,,,,
Jun-60,3.50,,,,,,,,,,,,,
Jul-60,3.25,,,,,,,,,,,,,
Aug-60,3.00,,,,,,,,,,,,,
Sep-60,3.00,,,,,,,,,,,,,
Oct-60,2.75,,,,,,,,,,,,,
Nov-60,0.25,,,,,,,,,,,,,
Dec-60,3.00,,,,,,,,,,,,,
Jan-61,2.25,,,,,,,,,,,,,
Feb-61,2.00,,,,,,,,,,,,,
Mar-61,2.00,,,,,,,,,,,,,
Apr-61,0.50,,,,,,,,,,,,,
May-61,1.00,,,,,,,,,,,,,
Jun-61,0.50,,,,,,,,,,,,,
Jul-61,2.50,,,,,,,,,,,,,
Aug-61,1.75,,,,,,,,,,,,,
Sep-61,1.50,,,,,,,,,,,,,
Oct-61,2.00,,,,,,,,,,,,,
Nov-61,1.75,,,,,,,,,,,,,
Dec-61,2.50,,,,,,,,,,,,,
Jan-62,1.50,,,,,,,,,,,,,
Feb-62,2.75,,,,,,,,,,,,,
Mar-62,2.75,,,,,,,,,,,,,
Apr-62,2.50,,,,,,,,,,,,,
May-62,2.75,,,,,,,,,,,,,
Jun-62,2.75,,,,,,,,,,,,,
Jul-62,2.75,,,,,,,,,,,,,
Aug-62,3.00,,,,,,,,,,,,,
Sep-62,2.75,,,,,,,,,,,,,
Oct-62,3.00,,,,,,,,,,,,,
Nov-62,2.88,,,,,,,,,,,,,
Dec-62,3.00,,,,,,,,,,,,,
Jan-63,3.00,,,,,,,,,,,,,
Feb-63,3.00,,,,,,,,,,,,,
Mar-63,3.00,,,,,,,,,,,,,
Apr-63,3.00,,,,,,,,,,,,,
May-63,3.00,,,,,,,,,,,,,
Jun-63,3.00,,,,,,,,,,,,,
Jul-63,3.50,,,,,,,,,,,,,
Aug-63,3.50,,,,,,,,,,,,,
Sep-63,3.50,,,,,,,,,,,,,
Oct-63,3.50,,,,,,,,,,,,,
Nov-63,3.50,,,,,,,,,,,,,
Dec-63,3.25,,,,,,,,,,,,,
Jan-64,3.50,,,,,,,,,,,,,
Feb-64,3.50,,,,,,,,,,,,,
Mar-64,3.50,,,,,,,,,,,,,
Apr-64,3.50,,,,,,,,,,,,,
May-64,3.50,,,,,,,,,,,,,
Jun-64,3.50,,,,,,,,,,,,,
Jul-64,3.50,,,,,,,,,,,,,
Aug-64,3.50,,,,,,,,,,,,,
Sep-64,2.75,,,,,,,,,,,,,
Oct-64,3.50,,,,,,,,,,,,,
Nov-64,4.00,,,,,,,,,,,,,
Dec-64,4.00,,,,,,,,,,,,,
Jan-65,4.00,,,,,,,,,,,,,
Feb-65,4.00,,,,,,,,,,,,,
Mar-65,4.00,,,,,,,,,,,,,
Apr-65,4.13,,,,,,,,,,,,,
May-65,4.13,,,,,,,,,,,,,
Jun-65,4.13,,,,,,,,,,,,,
Jul-65,4.13,,,,,,,,,,,,,
Aug-65,4.00,,,,,,,,,,,,,
Sep-65,4.13,,,,,,,,,,,,,
Oct-65,4.13,,,,,,,,,,,,,
Nov-65,4.13,,,,,,,,,,,,,
Dec-65,4.63,,,,,,,,,,,,,
Jan-66,4.50,,,,,,,,,,,,,
Feb-66,4.63,,,,,,,,,,,,,
Mar-66,4.75,,,,,,,,,,,,,
Apr-66,4.63,,,,,,,,,,,,,
May-66,4.75,,,,,,,,,,,,,
Jun-66,5.50,,,,,,,,,,,,,
Jul-66,5.75,,,,,,,,,,,,,
Aug-66,4.50,,,,,,,,,,,,,
Sep-66,5.75,,,,,,,,,,,,,
Oct-66,5.75,,,,,,,,,,,,,
Nov-66,5.75,,,,,,,,,,,,,
Dec-66,5.00,,,,,,,,,,,,,
Jan-67,4.00,,,,,,,,,,,,,
Feb-67,4.75,,,,,,,,,,,,,
Mar-67,4.50,,,,,,,,,,,,,
Apr-67,4.00,,,,,,,,,,,,,
May-67,4.13,,,,,,,,,,,,,
Jun-67,3.50,,,,,,,,,,,,,
Jul-67,3.75,,,,,,,,,,,,,
Aug-67,4.00,,,,,,,,,,,,,
Sep-67,3.75,,,,,,,,,,,,,
Oct-67,4.13,,,,,,,,,,,,,
Nov-67,4.50,,,,,,,,,,,,,
Dec-67,4.50,,,,,,,,,,,,,
Jan-68,4.75,,,,,,,,,,,,,
Feb-68,4.75,,,,,,,,,,,,,
Mar-68,5.25,,,,,,,,,,,,,
Apr-68,6.25,,,,,,,,,,,,,
May-68,6.13,,,,,,,,,,,,,
Jun-68,5.50,,,,,,,,,,,,,
Jul-68,6.00,,,,,,,,,,,,,
Aug-68,5.75,,,,,,,,,,,,,
Sep-68,5.50,,,,,,,,,,,,,
Oct-68,6.00,,,,,,,,,,,,,
Nov-68,6.00,,,,,,,,,,,,,
Dec-68,4.00,,,,,,,,,,,,,
Jan-69,6.38,,,,,,,,,,,,,
Feb-69,7.00,,,,,,,,,,,,,
Mar-69,6.25,,,,,,,,,,,,,
Apr-69,8.00,,,,,,,,,,,,,
May-69,9.38,,,,,,,,,,,,,
Jun-69,7.50,,,,,,,,,,,,,
Jul-69,8.75,,,,,,,,,,,,,
Aug-69,9.75,,,,,,,,,,,,,
Sep-69,8.50,,,,,,,,,,,,,
Oct-69,9.00,,,,,,,,,,,,,
Nov-69,9.25,,,,,,,,,,,,,
Dec-69,5.00,,,,,,,,,,,,,
Jan-70,9.38,,,,,,,,,,,,,
Feb-70,8.50,,,,,,,,,,,,,
Mar-70,7.50,,,,,,,,,,,,,
Apr-70,8.50,,,,,,,,,,,,,
May-70,7.88,,,,,,,,,,,,,
Jun-70,5.75,,,,,,,,,,,,,
Jul-70,6.75,,,,,,,,,,,,,
Aug-70,6.50,,,,,,,,,,,,,
Sep-70,5.00,,,,,,,,,,,,,
Oct-70,6.13,,,,,,,,,,,,,
Nov-70,5.50,,,,,,,,,,,,,
Dec-70,3.00,,,,,,,,,,,,,
Jan-71,4.00,,,,,,,,,,,,,
Feb-71,3.38,,,,,,,,,,,,,
Mar-71,4.50,,,,,,,,,,,,,
Apr-71,4.25,,,,,,,,,,,,,
May-71,4.88,,,,,,,,,,,,,
Jun-71,4.75,,,,,,,,,,,,,
Jul-71,5.50,,,,,,,,,,,,,
Aug-71,5.75,,,,,,,,,,,,,
Sep-71,5.38,,,,,,,,,,,,,
Oct-71,5.13,,,,,,,,,,,,,
Nov-71,4.25,,,,,,,,,,,,,
Dec-71,3.00,,,,,,,,,,,,,
Jan-72,3.13,,,,,,,,,,,,,
Feb-72,3.25,,,,,,,,,,,,,
Mar-72,4.00,,,,,,,,,,,,,
Apr-72,4.31,,,,,,,,,,,,,
May-72,4.75,,,,,,,,,,,,,
Jun-72,4.50,,,,,,,,,,,,,
Jul-72,4.50,,,,,,,,,,,,,
Aug-72,5.13,,,,,,,,,,,,,
Sep-72,4.88,,,,,,,,,,,,,
Oct-72,4.88,,,,,,,,,,,,,
Nov-72,5.19,,,,,,,,,,,,,
Dec-72,5.50,,,,,,,,,,,,,
Jan-73,6.50,,,,,,,,,,,,,
Feb-73,7.50,,,,,,,,,,,,,
Mar-73,7.38,,,,,,,,,,,,,
Apr-73,7.63,,,,,,,,,,,,,
May-73,8.13,,,,,,,,,,,,,
Jun-73,8.88,,,,,,,,,,,,,
Jul-73,11.22,,,,,,,,,,,,,
Aug-73,11.22,,,,,,,,,,,,,
Sep-73,10.82,,,,,,,,,,,,,
Oct-73,10.61,,,,,,,,,,,,,
Nov-73,10.34,,,,,,,,,,,,,
Dec-73,9.83,,,,,,,,,,,,,
Jan-74,9.31,,,,,,,,,,,,,
Feb-74,8.87,,,,,,,,,,,,,
Mar-74,9.95,,,,,,,,,,,,,
Apr-74,11.00,,,,,,,,,,,,,
May-74,11.64,,,,,,,,,,,,,
Jun-74,13.31,,,,,,,,,,,,,
Jul-74,12.06,,,,,,,,,,,,,
Aug-74,11.60,,,,,,,,,,,,,
Sep-74,11.11,,,,,,,,,,,,,
Oct-74,9.66,,,,,,,,,,,,,
Nov-74,9.47,,,,,,,,,,,,,
Dec-74,3.87,,,,,,,,,,,,,
Jan-75,6.76,,,,,,,,,,,,,
Feb-75,6.07,,,,,,,,,,,,,
Mar-75,5.39,,,,,,,,,,,,,
Apr-75,7.03,,,,,,,,,,,,,
May-75,5.23,,,,,,,,,,,,,
Jun-75,5.97,,,,,,,,,,,,,
Jul-75,6.23,,,,,,,,,,,,,
Aug-75,6.13,,,,,,,,,,,,,
